[r49] 35033 authors to fetch | 0 shards present
[r49] 2000/35033 | 7.2 authors/s | ETA 1.28 h
[r49] 4000/35033 | 7.2 authors/s | ETA 1.20 h
[r49] 6000/35033 | 7.2 authors/s | ETA 1.12 h
[r49] 8000/35033 | 7.2 authors/s | ETA 1.04 h
[r49] 10000/35033 | 7.2 authors/s | ETA 0.97 h
[r49] 12000/35033 | 7.2 authors/s | ETA 0.89 h
[r49] 14000/35033 | 7.2 authors/s | ETA 0.81 h
[r49] 16000/35033 | 7.2 authors/s | ETA 0.73 h
[r49] 18000/35033 | 7.2 authors/s | ETA 0.66 h
[r49] 20000/35033 | 7.2 authors/s | ETA 0.58 h
[r49] 22000/35033 | 7.2 authors/s | ETA 0.50 h
[r49] 24000/35033 | 7.2 authors/s | ETA 0.43 h
[r49] 26000/35033 | 7.2 authors/s | ETA 0.35 h
[r49] 28000/35033 | 7.2 authors/s | ETA 0.27 h
[r49] 30000/35033 | 7.2 authors/s | ETA 0.19 h
[r49] 32000/35033 | 7.2 authors/s | ETA 0.12 h
[r49] 34000/35033 | 7.2 authors/s | ETA 0.04 h
[r49] fetch complete in 1.36 h
